,PLAN_BEZ,STRASSE1,ORTSTEIL1,PLZ1,HNR_GE_AB,HNR_GE_BIS,HNR_UG_AB,HNR_UG_BIS,TERMIN001,TERMIN002,TERMIN003
7739,Sperrmüll,Fürstenstr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
7755,Sperrmüll,Gangolfstr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
7771,Sperrmüll,Gerhard-von-Are-Str.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
7786,Sperrmüll,Giergasse,Bonn-Zentrum,53113,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
7801,Sperrmüll,Hatschiergasse,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
7816,Sperrmüll,Heisterbacherhofstr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
7832,Sperrmüll,In der Sürst,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
7847,Sperrmüll,Josefstr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
7863,Sperrmüll,Kaiserplatz,Bonn-Zentrum,53113,,,1.0,9.0,2025-06-02,2025-05-22,2025-01-10
7879,Sperrmüll,Kaiserplatz,Bonn-Zentrum,53113,,,11.0,9999.0,2025-06-02,2025-05-22,2025-01-10
7895,Sperrmüll,Kaiserplatz,Bonn-Zentrum,53113,2.0,9998.0,,,2025-06-02,2025-05-22,2025-01-10
7910,Sperrmüll,Kapuzinerstr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
7926,Sperrmüll,Kasernenstr.,Bonn-Zentrum,53111,2.0,32.0,1.0,5.0,2025-06-02,2025-05-22,2025-01-10
7941,Sperrmüll,Kasernenstr.,Bonn-Zentrum,53111,34.0,9998.0,7.0,9999.0,2025-01-31,2025-05-15,2025-12-09
7957,Sperrmüll,Kesselgasse,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
7972,Sperrmüll,Kommanderiestr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
7987,Sperrmüll,Konviktstr.,Bonn-Zentrum,53113,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8002,Sperrmüll,Langgasse,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8017,Sperrmüll,Maarhofplatz,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-04-07,2025-05-12
8033,Sperrmüll,Markt,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8049,Sperrmüll,Marktbrücke,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8065,Sperrmüll,Martinsplatz,Bonn-Zentrum,53113,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8081,Sperrmüll,Mauspfad,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8097,Sperrmüll,Maximilianpassage,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8113,Sperrmüll,Maximilianstr.,Bonn-Zentrum,53111,2.0,10.0,1.0,5.0,2025-06-02,2025-05-22,2025-01-10
8129,Sperrmüll,Maximilianstr.,Bonn-Zentrum,53111,12.0,9998.0,7.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8144,Sperrmüll,Moses-Hess-Ufer,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8160,Sperrmüll,Mülheimer Platz,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8176,Sperrmüll,Münsterplatz,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-04-07,2025-05-12
8192,Sperrmüll,Münsterstr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8208,Sperrmüll,Noeggerathstr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8224,Sperrmüll,Oxfordstr.,Bonn-Zentrum,53111,,,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8240,Sperrmüll,Oxfordstr.,Bonn-Zentrum,53111,2.0,9998.0,,,2025-01-31,2025-05-15,2025-12-09
8256,Sperrmüll,Poststr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8272,Sperrmüll,Rabinstr.,Bonn-Zentrum,53111,,,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8293,Sperrmüll,Rabinstr.,Bonn-Zentrum,53111,2.0,9998.0,,,2025-06-02,2025-05-22,2025-01-10
8314,Sperrmüll,Rathausgasse,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8330,Sperrmüll,Regina-Pacis-Weg,Bonn-Zentrum,53113,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8346,Sperrmüll,Remigiusplatz,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8362,Sperrmüll,Remigiusplatz,Bonn-Zentrum,53111,,,,,2025-06-02,2025-05-22,2025-01-10
8378,Sperrmüll,Remigiusstr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8393,Sperrmüll,Rheingasse,Bonn-Zentrum,53113,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8408,Sperrmüll,Sandkaule,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8424,Sperrmüll,Sternstr.,Bonn-Zentrum,53111,2.0,78.0,1.0,55.0,2025-06-02,2025-05-22,2025-01-10
8440,Sperrmüll,Sternstr.,Bonn-Zentrum,53111,,,57.0,67.0,2025-06-02,2025-05-22,2025-01-10
8456,Sperrmüll,Sternstr.,Bonn-Zentrum,53111,80.0,9998.0,69.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8472,Sperrmüll,Sterntorbrücke,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8487,Sperrmüll,Stiftsgasse,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8502,Sperrmüll,Stiftsplatz,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8523,Sperrmüll,Stockenstr.,Bonn-Zentrum,53113,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8538,Sperrmüll,Theaterstr.,Bonn-Zentrum,53111,2.0,22.0,1.0,21.0,2025-01-31,2025-05-15,2025-12-09
8558,Sperrmüll,Theaterstr.,Bonn-Zentrum,53111,24.0,9998.0,23.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8579,Sperrmüll,Thomas-Mann-Str.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8595,Sperrmüll,Vivatsgasse,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8610,Sperrmüll,Vogtsgasse,Bonn-Zentrum,53113,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8625,Sperrmüll,Welschnonnenstr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8641,Sperrmüll,Wenzelgasse,Bonn-Zentrum,53111,2.0,28.0,1.0,23.0,2025-06-02,2025-05-22,2025-01-10
8657,Sperrmüll,Wenzelgasse,Bonn-Zentrum,53111,30.0,9998.0,25.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8673,Sperrmüll,Wesselstr.,Bonn-Zentrum,53113,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8688,Sperrmüll,Wilhelmsplatz,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8704,Sperrmüll,Wilhelmstr.,Bonn-Zentrum,53111,2.0,20.0,1.0,9.0,2025-06-02,2025-05-22,2025-01-10
8719,Sperrmüll,Wilhelmstr.,Bonn-Zentrum,53111,22.0,9998.0,11.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8735,Sperrmüll,Windeckstr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-06-02,2025-05-22,2025-01-10
8755,Sperrmüll,Windmühlenstr.,Bonn-Zentrum,53111,2.0,9998.0,1.0,9999.0,2025-01-31,2025-05-15,2025-12-09
8770,Sperrmüll,Abenteuerweg,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
8785,Sperrmüll,Altenburgstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
8800,Sperrmüll,An der Haeschmaar,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
8815,Sperrmüll,Borsigallee,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
8830,Sperrmüll,Bredowallee,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
8845,Sperrmüll,Brüser Damm,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
8865,Sperrmüll,Celsiusstr.,Brüser Berg,53125,2.0,112.0,1.0,41.0,2025-02-13,2025-03-06,2025-10-28
8884,Sperrmüll,Celsiusstr.,Brüser Berg,53125,114.0,9998.0,43.0,9999.0,2025-02-13,2025-03-06,2025-10-28
8899,Sperrmüll,Dessaustr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
8914,Sperrmüll,Dornierstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
8929,Sperrmüll,Edisonallee,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
8944,Sperrmüll,Eislebenstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
8959,Sperrmüll,Erfurtstr.,Brüser Berg,53125,,,1.0,17.0,2025-02-13,2025-03-06,2025-10-28
8974,Sperrmüll,Erfurtstr.,Brüser Berg,53125,,,19.0,47.0,2025-02-13,2025-03-06,2025-10-28
8989,Sperrmüll,Erfurtstr.,Brüser Berg,53125,2.0,9998.0,75.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9004,Sperrmüll,Erfurtstr.,Brüser Berg,53125,,,49.0,55.0,2025-02-13,2025-03-06,2025-10-28
9019,Sperrmüll,Erfurtstr.,Brüser Berg,53125,,,57.0,73.0,2025-02-13,2025-03-06,2025-10-28
9034,Sperrmüll,Fahrenheitstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9049,Sperrmüll,Fockestr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9064,Sperrmüll,Fritz-Eggeling-Platz,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9079,Sperrmüll,Gaußstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9099,Sperrmüll,Gebrüder-Wright-Str.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9114,Sperrmüll,Gerastr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9129,Sperrmüll,Goddardstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9144,Sperrmüll,Goldfußstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9159,Sperrmüll,Gothastr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9174,Sperrmüll,Halberstadtstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9189,Sperrmüll,Hallestr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9209,Sperrmüll,Hankelstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9224,Sperrmüll,Hans-Grade-Str.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9239,Sperrmüll,Heinkelstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9254,Sperrmüll,Hugo-Junkers-Str.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9269,Sperrmüll,Jenastr.,Brüser Berg,53125,2.0,9998.0,1.0,23.0,2025-02-13,2025-03-06,2025-10-28
9284,Sperrmüll,Jenastr.,Brüser Berg,53125,,,25.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9299,Sperrmüll,Köhlstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9314,Sperrmüll,Lilienthalstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9329,Sperrmüll,Marie-Curie-Str.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9344,Sperrmüll,Messerschmittstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9359,Sperrmüll,Morseweg,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9374,Sperrmüll,Newtonstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9389,Sperrmüll,Nipkowstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9404,Sperrmüll,Pascalstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9419,Sperrmüll,Philipp-Reis-Str.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9434,Sperrmüll,Philippsonstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9449,Sperrmüll,Réaumurstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9464,Sperrmüll,Riemannstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9479,Sperrmüll,Schießstandweg,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9499,Sperrmüll,Schönfeldstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9514,Sperrmüll,Von-Guericke-Allee,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9529,Sperrmüll,Weimarer Str.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9544,Sperrmüll,Wittenbergstr.,Brüser Berg,53125,2.0,9998.0,1.0,9999.0,2025-02-13,2025-03-06,2025-10-28
9559,Sperrmüll,Adolf-Heuser-Weg,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9574,Sperrmüll,Aegidienstr.,Buschdorf,53117,2.0,14.0,1.0,7.0,2025-09-01,2025-07-05,2025-09-18
9589,Sperrmüll,Aegidienstr.,Buschdorf,53117,16.0,9998.0,9.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9604,Sperrmüll,Aloys-Müller-Weg,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9619,Sperrmüll,Am Apfelbaum,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9638,Sperrmüll,Am Paulusacker,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-08-01,2025-06-05,2025-09-17
9653,Sperrmüll,Am Petrusacker,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-08-01,2025-06-05,2025-09-17
9668,Sperrmüll,Am Spielplatz,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9683,Sperrmüll,An der Buschdorfer Burg,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9698,Sperrmüll,An der Landstr.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-08-01,2025-06-05,2025-09-17
9713,Sperrmüll,Anna-Schubring-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9728,Sperrmüll,Antilopenweg,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-08-01,2025-06-05,2025-09-17
9743,Sperrmüll,Anton-Engels-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9758,Sperrmüll,Azaleenweg,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9773,Sperrmüll,Buschdorfer Str.,Buschdorf,53117,2.0,8.0,1.0,3.0,2025-09-01,2025-07-05,2025-09-18
9788,Sperrmüll,Buschdorfer Str.,Buschdorf,53117,10.0,9998.0,5.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9803,Sperrmüll,Carlo-Mense-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9818,Sperrmüll,Christian-Lassen-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-08-01,2025-06-05,2025-09-17
9833,Sperrmüll,Dellweg,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9848,Sperrmüll,Dresdener Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9863,Sperrmüll,Egerstr.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9878,Sperrmüll,Eisenacher Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9893,Sperrmüll,Elbingstr.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9908,Sperrmüll,Elisabeth-Daub-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9923,Sperrmüll,Ernst-Meurer-Weg,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9938,Sperrmüll,Ernst-Robert-Curtius-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-08-01,2025-06-05,2025-09-17
9953,Sperrmüll,Franz-Grünkorn-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9968,Sperrmüll,Friedlandstr.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
9983,Sperrmüll,Hans-Herter-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-08-01,2025-06-05,2025-09-17
9998,Sperrmüll,Heinrich-Bursch-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10013,Sperrmüll,Heinrich-Nauen-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10028,Sperrmüll,Heinrich-Settels-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10043,Sperrmüll,Hermann-Dienz-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10058,Sperrmüll,Im Dahl,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10073,Sperrmüll,Im großen Garten,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10092,Sperrmüll,Im Schildchen,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10107,Sperrmüll,Im Winkel,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10122,Sperrmüll,Jakob-Mager-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10137,Sperrmüll,Johann-Wirtz-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10152,Sperrmüll,Josef-Kuth-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10167,Sperrmüll,Karlsbader Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10182,Sperrmüll,Klosterweg,Buschdorf,53117,2.0,14.0,1.0,13.0,2025-09-01,2025-07-05,2025-09-18
10197,Sperrmüll,Klosterweg,Buschdorf,53117,16.0,9998.0,15.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10212,Sperrmüll,Lärchenstr.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10227,Sperrmüll,Leo-Breuer-Weg,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10242,Sperrmüll,Ludwig-Schopp-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10257,Sperrmüll,Martin-Görgens-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10272,Sperrmüll,Naumburger Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10287,Sperrmüll,Otto-Hahn-Str.,Buschdorf,53117,2.0,76.0,1.0,105.0,2025-09-01,2025-07-05,2025-09-18
10306,Sperrmüll,Otto-Hahn-Str.,Buschdorf,53117,78.0,9998.0,107.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10321,Sperrmüll,Peter-Klein-Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10341,Sperrmüll,Ratiborstr.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10356,Sperrmüll,Rostocker Str.,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10371,Sperrmüll,Schickgasse,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10386,Sperrmüll,Schlesienstr.,Buschdorf,53119,2.0,100.0,1.0,101.0,2025-08-01,2025-06-05,2025-09-17
10401,Sperrmüll,Schlesienstr.,Buschdorf,53119,102.0,9998.0,103.0,9999.0,2025-08-01,2025-06-05,2025-09-17
10416,Sperrmüll,Ulmenweg,Buschdorf,53117,2.0,9998.0,1.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10431,Sperrmüll,Von-den-Driesch-Str.,Buschdorf,53117,2.0,16.0,1.0,59.0,2025-09-01,2025-07-05,2025-09-18
10446,Sperrmüll,Von-den-Driesch-Str.,Buschdorf,53117,18.0,9998.0,61.0,9999.0,2025-09-01,2025-07-05,2025-09-18
10461,Sperrmüll,Am Bleidriesch,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-05-03,2025-06-18,2025-11-11
10476,Sperrmüll,Am Quirinusbrunnen,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10491,Sperrmüll,Am Zinnbruch,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10506,Sperrmüll,Auf dem Junkerfeld,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-04-02,2025-08-07,2025-09-12
10521,Sperrmüll,Christian-Miesen-Str.,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10536,Sperrmüll,Christoph-Fischer-Weg,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10551,Sperrmüll,Damaschkestr.,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10566,Sperrmüll,Dottendorfer Str.,Dottendorf,53129,2.0,64.0,1.0,69.0,2025-02-24,2025-06-17,2025-10-11
10581,Sperrmüll,Dottendorfer Str.,Dottendorf,53129,66.0,9998.0,71.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10596,Sperrmüll,Droste-Hülshoff-Str.,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10611,Sperrmüll,Elisabeth-Selbert-Platz,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-05-02,2025-05-21,2025-09-30
10626,Sperrmüll,Eschelbachstr.,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10641,Sperrmüll,Eulenweg,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10656,Sperrmüll,F.-A.-Schmidt-Weg,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10676,Sperrmüll,Gustav-Oel-Str.,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-04-02,2025-08-07,2025-09-12
10691,Sperrmüll,Harleßstr.,Dottendorf,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10706,Sperrmüll,Hausdorffstr.,Dottendorf,53129,2.0,4.0,1.0,21.0,2025-02-26,2025-06-16,2025-07-11
10721,Sperrmüll,Hausdorffstr.,Dottendorf,53129,80.0,156.0,73.0,159.0,2025-02-26,2025-06-16,2025-07-11
10736,Sperrmüll,Hausdorffstr.,Dottendorf,53129,158.0,196.0,161.0,221.0,2025-02-26,2025-06-16,2025-07-11
10751,Sperrmüll,Hausdorffstr.,Dottendorf,53129,198.0,234.0,223.0,239.0,2025-02-26,2025-06-16,2025-07-11
10766,Sperrmüll,Hausdorffstr.,Dottendorf,53129,236.0,9998.0,241.0,9999.0,2025-02-24,2025-06-17,2025-10-11
10781,Sperrmüll,Hausdorffstr.,Dottendorf,53129,6.0,78.0,23.0,71.0,2025-02-26,2025-06-16,2025-07-11
